"line_number","content","is_numbered","has_section","has_aantal","has_edge_processing","has_controle","has_magazijn","has_te_bestellen"
45,"                                                                  Macro deursensors",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
46,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
47,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
48,"Naam:                       .../...",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
49,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
50,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51,"Cel Massief:",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
52,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
53,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
54,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
55,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
56,"Naam:                       .../...",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
57,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
58,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
59,"Cel schuren:",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
60,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
61,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
62,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
63,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
64,"Naam:                       .../...",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
65,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
66,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
67,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
68,"                                                                                                              Page 1 of 21",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
69,"                                                                                                                                                                  MO07199",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
70,"                                                              Klant:      Rudi Matterne",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
71,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
72,"                                                     S8       Tekenaar: JW",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
73,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
74,"                                                              Sales nr:   S04479",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
75,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
76,"                                                    Schuren   Project:",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
77,"                                                                          0411_MO07199_Hoekdressing - opklapbed (4-7)                                                              Nesting",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
78," N°          Onderdeel                        Materiaal            Lengte          Breedte    Dikte      L1         L2        B1        B2       ProductieM.     Opmerkingen",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
79,"                                                                                                      Fineer eik Fineer eik Fineer eik Fineer eik Standaard",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
80,"  1               AZ                     HSP 23mm BxB                  2571        1023.667    23        1mm        1mm        1mm        1mm        Dik",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
81,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
82,"                                                                                                      Fineer eik Fineer eik Fineer eik Fineer eik Standaard",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
83,"  2             LZ_01                    HSP 23mm BxB                  2571          510       23        1mm        1mm        1mm        1mm        Dik",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
84,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
85,"                                                                                                      Fineer eik Fineer eik Fineer eik Fineer eik Standaard",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
86,"  3             LZ_02                    HSP 23mm BxB                  2571          510       23        1mm        1mm        1mm        1mm        Dik",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
87,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
88,"                                                                                                      Fineer eik Fineer eik Fineer eik Fineer eik Standaard",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
89,"  4             LZ_03                    HSP 23mm BxB                  2571          600       23        1mm        1mm        1mm        1mm        Dik",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
90,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
91,"                                                                                                      Fineer eik Fineer eik Fineer eik Fineer eik Standaard",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
92,"  5             RZ_04                    HSP 23mm BxB                  2571          600       23        1mm        1mm        1mm        1mm        Dik",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
93,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
94,"                                                                                                      Fineer eik Fineer eik Fineer eik Fineer eik",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
95,"  6            AFWZ_R                  MDF 19mm AFQMxB                 2636          635       19        1mm        1mm        1mm        1mm",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
96,"                                                                                                                                                  Standaard    L+B=30mm overmaat",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
97,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
98,"                                                                                                      Fineer eik Fineer eik Fineer eik Fineer eik",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
99,"  7            DR_L01                  MDF 19mm AFQMxB                 2596        431.667     19        1mm        1mm        1mm        1mm",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
100,"                                                                                                                                                  Standaard",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
101,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
102,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
103,"                                                                                                      Fineer eik Fineer eik Fineer eik Fineer eik",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
104,"  8            DR_L03                  MDF 19mm AFQMxB                 2596        431.667     19        1mm        1mm        1mm        1mm",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
105,"                                                                                                                                                  Standaard",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
106,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
107,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
108,"                                                                                                      Fineer eik Fineer eik Fineer eik Fineer eik",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
109,"  9            DR_L05                  MDF 19mm AFQMxB                 2596        382.666     19        1mm        1mm        1mm        1mm",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
110,"                                                                                                                                                  Standaard",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
111,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
112,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
113,"                                                                                                      Fineer eik Fineer eik Fineer eik Fineer eik",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
114," 10            DR_R02                  MDF 19mm AFQMxB                 2596        431.667     19        1mm        1mm        1mm        1mm",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
115,"                                                                                                                                                  Standaard",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
116,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
117,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
118,"                                                                                                      Fineer eik Fineer eik Fineer eik Fineer eik",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
119," 11            DR_R04                  MDF 19mm AFQMxB                 2596        382.667     19        1mm        1mm        1mm        1mm",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
120,"                                                                                                                                                  Standaard",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
121,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
122,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
123,"                                                                                                      Fineer eik Fineer eik Fineer eik Fineer eik",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
124," 12            DR_R06                  MDF 19mm AFQMxB                 2596        382.666     19        1mm        1mm        1mm        1mm",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
125,"                                                                                                                                                  Standaard",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
126,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
127,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
128,"                                                                                                      Fineer eik Fineer eik Fineer eik Fineer eik",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
129," 13             Paslat                 MDF 19mm AFQMxB                 2770          200       19        1mm        1mm        1mm        1mm",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
130,"                                                                                                                                                  Standaard",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
131,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
132,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
133,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
134," 14              RG                    MDF 19mm AFQMxB                 2118         1007.7     19                                                Standaard",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
135,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
136,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
137,"                                                                                                      Fineer eik Fineer eik Fineer eik Fineer eik Standaard",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
138," 15             Front                  MDF 23mm AFQMxB                 2086          970       23        1mm        1mm        1mm        1mm        Dik",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
139,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
140,"                                                                                                      Fineer eik                                 Standaard",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
141," 16            AANV_R                    MDF 31mm BxB             1019.917           493       31        1mm                                        Dik",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
142,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
143,"                                                                                                      Fineer eik Fineer eik                      Standaard",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
144," 17               BC                     MDF 31mm BxB              837.333           509       31        1mm        1mm                             Dik",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
145,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
146,"                                                                                                      Fineer eik Fineer eik                      Standaard",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
147," 18               BC                     MDF 31mm BxB              739.333           599       31        1mm        1mm                             Dik",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
148,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
149,"                                                                                                      Fineer eik Fineer eik                      Standaard",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
150," 19               BC                     MDF 31mm BxB                  996           420       31        1mm        1mm                             Dik",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
151,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
152,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
153,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
154,"0411_MO07199_Hoekdressing - opklapbed (4-7)                                                                                                                                          Page 2 of 21",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
155," N°          Onderdeel                        Materiaal   Lengte    Breedte   Dikte      L1           L2         B1        B2    ProductieM.       Opmerkingen",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
156,"                                                                                                   Fineer eik                    Standaard",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
157," 20             BC_01                    MDF 31mm BxB     424.667     466      31                     1mm                           Dik",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
158,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
159,"                                                                                      Fineer eik Fineer eik                      Standaard",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
160," 21             BC_02                    MDF 31mm BxB     861.667     599      31        1mm        1mm                             Dik",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
161,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
162,"                                                                                      Fineer eik Fineer eik Fineer eik Fineer eik Standaard",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
163," 22               LZ                     MDF 31mm BxB      2181       420      31        1mm        1mm        1mm        1mm        Dik",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
164,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
165,"                                                                                      Fineer eik Fineer eik                      Standaard",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
166," 23              OC                      MDF 31mm BxB     739.333     579      31        1mm        1mm                             Dik",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
167,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
168,"                                                                                      Fineer eik Fineer eik                      Standaard",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
169," 24              OC                      MDF 31mm BxB     837.333     489      31        1mm        1mm                             Dik",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
170,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
171,"                                                                                                   Fineer eik Fineer eik         Standaard",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
172," 25             OC_01                    MDF 31mm BxB     424.667     466      31                     1mm        1mm                Dik        Plint R 4mm oversteek",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
173,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
174,"                                                                                      Fineer eik Fineer eik                      Standaard",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
175," 26             OC_02                    MDF 31mm BxB     861.667     579      31        1mm        1mm                             Dik",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
176,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
177,"                                                                                      Fineer eik Fineer eik Fineer eik Fineer eik Standaard",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
178," 27               RZ                     MDF 31mm BxB      2181       420      31        1mm        1mm        1mm        1mm        Dik",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
179,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
180,"                                                                                      Fineer eik Fineer eik                      Standaard",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
181," 28             VL01                     MDF 31mm BxB     837.333     476      31        1mm        1mm                             Dik",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
182,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
183,"                                                                                      Fineer eik Fineer eik                      Standaard",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
184," 29             VL02                     MDF 31mm BxB     837.333     476      31        1mm        1mm                             Dik",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
185,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
186,"                                                                                      Fineer eik Fineer eik                      Standaard",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
187," 30             VL03                     MDF 31mm BxB     837.333     476      31        1mm        1mm                             Dik",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
188,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
189,"                                                                                      Fineer eik Fineer eik                      Standaard",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
190," 31             VL04                     MDF 31mm BxB     837.333     476      31        1mm        1mm                             Dik",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
191,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
192,"                                                                                      Fineer eik Fineer eik                      Standaard",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
193," 32             VL05                     MDF 31mm BxB     837.333     476      31        1mm        1mm                             Dik",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
194,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
195,"                                                                                                   Fineer eik Fineer eik         Standaard",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
196," 33             VL06                     MDF 31mm BxB     424.667     466      31                     1mm        1mm                Dik",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
197,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
198,"                                                                                      Fineer eik                                 Standaard",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
199," 34             VL07                     MDF 31mm BxB     861.667     566      31        1mm                                        Dik",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
200,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
201,"                                                                                                   Fineer eik Fineer eik         Standaard",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
202," 35             VL08                     MDF 31mm BxB     424.667     466      31                     1mm        1mm                Dik",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
203,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
204,"                                                                                      Fineer eik                                 Standaard",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
205," 36             VL09                     MDF 31mm BxB     861.667     566      31        1mm                                        Dik",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
206,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
207,"                                                                                      Fineer eik Fineer eik                      Standaard",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
208," 37             VL10                     MDF 31mm BxB     739.333     566      31        1mm        1mm                             Dik",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
209,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
210,"                                                                                      Fineer eik Fineer eik                      Standaard",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
211," 38             VL11                     MDF 31mm BxB     739.333     566      31        1mm        1mm                             Dik",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
212,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
213,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
214,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
215,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
216,"                                                                                                                                                                  Aantal onderdelen: 38",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
217,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
218,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
219,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
220,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
221,"0411_MO07199_Hoekdressing - opklapbed (4-7)                                                                                                                                 Page 3 of 21",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
222,"                                                                                                                                                      MO07199",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
223,"                                                              Klant:      Rudi Matterne",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
224,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
225,"                                                     S8       Tekenaar: JW",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
226,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
227,"                                                              Sales nr:   S04479",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
228,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
229,"                                                    Schuren   Project:",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
230,"                                                                          0411_MO07199_Hoekdressing - opklapbed (4-7)                                            Opdeelzaag",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
231," N°          Onderdeel                        Materiaal            Lengte          Breedte   Dikte      L1         L2         B1         B2        Opmerkingen",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
232,"                                                                                                     Fineer eik Fineer eik",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
233,"  1               BC                     HSP 19mm BxB                  1030          507      19     1mm        1mm",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
234,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
235,"                                                                                                     Fineer eik Fineer eik Fineer eik Fineer eik",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
236,"  2               LZ                     HSP 19mm BxB                  430           507      19     1mm        1mm        1mm        1mm",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
237,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
238,"                                                                                                     Fineer eik Fineer eik",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
239,"  3              OC                      HSP 19mm BxB                  1030          507      19     1mm        1mm",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
240,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
241,"                                                                                                     Fineer eik Fineer eik Fineer eik Fineer eik",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
242,"  4               RZ                     HSP 19mm BxB                  430           507      19     1mm        1mm        1mm        1mm",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
243,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
244,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
245,"  5             Ruglat                MDF 19-18mm Uitval           861.667           100      19",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
246,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
247,"  6             Ruglat                MDF 19-18mm Uitval           837.333           100      19",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
248,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
249,"  7             Ruglat                MDF 19-18mm Uitval           739.333           100      19",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
250,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
251,"                                                                                                     Fineer eik Fineer eik Fineer eik Fineer eik",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
252,"  8           Klapdeur                 MDF 19mm AFQMxB                 426          1055      19     1mm        1mm        1mm        1mm",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
253,"",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
