level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3508	2481	-1	
2	1	1	0	0	0	848	117	264	3	-1	
3	1	1	1	0	0	848	117	264	3	-1	
4	1	1	1	1	0	848	117	264	3	-1	
5	1	1	1	1	1	848	117	264	3	95.000000	 
2	1	2	0	0	0	240	121	3126	133	-1	
3	1	2	1	0	0	118	118	3248	136	-1	
4	1	2	1	1	0	240	121	3126	133	-1	
5	1	2	1	1	1	240	121	583	109	26.712021	MINTJENS|
5	1	2	1	1	2	956	194	47	36	77.311432	se
5	1	2	1	1	3	1138	130	141	94	0.000000	)eu
5	1	2	1	1	4	1303	130	200	94	0.000000	oe"
5	1	2	1	1	5	2765	151	601	103	74.468346	MO07199
2	1	3	0	0	0	1139	271	261	23	-1	
3	1	3	1	0	0	1139	271	261	23	-1	
4	1	3	1	1	0	1139	271	261	23	-1	
5	1	3	1	1	1	1139	271	70	23	32.000443	Sales
5	1	3	1	1	2	1220	277	39	17	32.000443	nr:
5	1	3	1	1	3	1304	271	96	23	76.707870	S04479
2	1	4	0	0	0	848	306	264	2	-1	
3	1	4	1	0	0	848	306	264	2	-1	
4	1	4	1	1	0	848	306	264	2	-1	
5	1	4	1	1	1	848	306	264	2	95.000000	 
2	1	5	0	0	0	114	399	3267	5	-1	
3	1	5	1	0	0	114	399	3267	5	-1	
4	1	5	1	1	0	114	399	3267	5	-1	
5	1	5	1	1	1	114	399	3267	5	95.000000	 
2	1	6	0	0	0	116	471	3275	3	-1	
3	1	6	1	0	0	116	471	3275	3	-1	
4	1	6	1	1	0	116	471	3275	3	-1	
5	1	6	1	1	1	116	471	3275	3	95.000000	 
2	1	7	0	0	0	116	566	3275	2	-1	
3	1	7	1	0	0	116	566	3275	2	-1	
4	1	7	1	1	0	116	566	3275	2	-1	
5	1	7	1	1	1	116	566	3275	2	95.000000	 
2	1	8	0	0	0	116	660	3275	3	-1	
3	1	8	1	0	0	116	660	3275	3	-1	
4	1	8	1	1	0	116	660	3275	3	-1	
5	1	8	1	1	1	116	660	3275	3	95.000000	 
2	1	9	0	0	0	116	755	3275	2	-1	
3	1	9	1	0	0	116	755	3275	2	-1	
4	1	9	1	1	0	116	755	3275	2	-1	
5	1	9	1	1	1	116	755	3275	2	95.000000	 
2	1	10	0	0	0	116	849	3275	3	-1	
3	1	10	1	0	0	116	849	3275	3	-1	
4	1	10	1	1	0	116	849	3275	3	-1	
5	1	10	1	1	1	116	849	3275	3	95.000000	 
2	1	11	0	0	0	116	944	3275	2	-1	
3	1	11	1	0	0	116	944	3275	2	-1	
4	1	11	1	1	0	116	944	3275	2	-1	
5	1	11	1	1	1	116	944	3275	2	95.000000	 
2	1	12	0	0	0	116	1038	3275	3	-1	
3	1	12	1	0	0	116	1038	3275	3	-1	
4	1	12	1	1	0	116	1038	3275	3	-1	
5	1	12	1	1	1	116	1038	3275	3	95.000000	 
2	1	13	0	0	0	116	1133	3275	2	-1	
3	1	13	1	0	0	116	1133	3275	2	-1	
4	1	13	1	1	0	116	1133	3275	2	-1	
5	1	13	1	1	1	116	1133	3275	2	95.000000	 
2	1	14	0	0	0	116	1227	3275	3	-1	
3	1	14	1	0	0	116	1227	3275	3	-1	
4	1	14	1	1	0	116	1227	3275	3	-1	
5	1	14	1	1	1	116	1227	3275	3	95.000000	 
2	1	15	0	0	0	116	1321	3275	3	-1	
3	1	15	1	0	0	116	1321	3275	3	-1	
4	1	15	1	1	0	116	1321	3275	3	-1	
5	1	15	1	1	1	116	1321	3275	3	95.000000	 
2	1	16	0	0	0	116	1416	3275	3	-1	
3	1	16	1	0	0	116	1416	3275	3	-1	
4	1	16	1	1	0	116	1416	3275	3	-1	
5	1	16	1	1	1	116	1416	3275	3	95.000000	 
2	1	17	0	0	0	116	1510	3275	3	-1	
3	1	17	1	0	0	116	1510	3275	3	-1	
4	1	17	1	1	0	116	1510	3275	3	-1	
5	1	17	1	1	1	116	1510	3275	3	95.000000	 
2	1	18	0	0	0	116	1605	3275	3	-1	
3	1	18	1	0	0	116	1605	3275	3	-1	
4	1	18	1	1	0	116	1605	3275	3	-1	
5	1	18	1	1	1	116	1605	3275	3	95.000000	 
2	1	19	0	0	0	116	1699	3275	3	-1	
3	1	19	1	0	0	116	1699	3275	3	-1	
4	1	19	1	1	0	116	1699	3275	3	-1	
5	1	19	1	1	1	116	1699	3275	3	95.000000	 
2	1	20	0	0	0	116	1794	3275	3	-1	
3	1	20	1	0	0	116	1794	3275	3	-1	
4	1	20	1	1	0	116	1794	3275	3	-1	
5	1	20	1	1	1	116	1794	3275	3	95.000000	 
2	1	21	0	0	0	116	1888	3275	3	-1	
3	1	21	1	0	0	116	1888	3275	3	-1	
4	1	21	1	1	0	116	1888	3275	3	-1	
5	1	21	1	1	1	116	1888	3275	3	95.000000	 
2	1	22	0	0	0	116	1983	3275	3	-1	
3	1	22	1	0	0	116	1983	3275	3	-1	
4	1	22	1	1	0	116	1983	3275	3	-1	
5	1	22	1	1	1	116	1983	3275	3	95.000000	 
2	1	23	0	0	0	116	2077	3275	3	-1	
3	1	23	1	0	0	116	2077	3275	3	-1	
4	1	23	1	1	0	116	2077	3275	3	-1	
5	1	23	1	1	1	116	2077	3275	3	95.000000	 
2	1	24	0	0	0	116	2172	3275	3	-1	
3	1	24	1	0	0	116	2172	3275	3	-1	
4	1	24	1	1	0	116	2172	3275	3	-1	
5	1	24	1	1	1	116	2172	3275	3	95.000000	 
2	1	25	0	0	0	145	313	3228	1929	-1	
3	1	25	1	0	0	925	312	2448	81	-1	
4	1	25	1	1	0	925	313	2448	80	-1	
5	1	25	1	1	1	925	342	111	23	92.260223	Schuren
