;Materiaal;Dikte;Nerf;Lengte;Breedte;Aantal platen;Referentie;Bemerking;Referentie nummer
1;Massief Am eik 45;45;H;3050;1300;99;;;100002
2;Massief Am eik 09;9;H;3050;1300;104;;;100003
3;Massief eik uitval 20;20;H;3050;1300;100;;;100004
4;Massief eik uitval 30;30;H;3050;1300;100;;;100005
5;Massief eik uitval 40;40;H;3050;1300;99;;;100006
6;Massief Am eik 28;28;H;3050;1300;97;;;100007
7;Massief Am eik 14;14;H;3050;1300;103;;;100008
8;Massief Am eik 21;21;H;3050;1300;98;;;100009
9;Massief eik uitval 25;25;H;3050;1300;100;;;100010
10;Massief Am eik 20;20;H;3050;1300;98;;;100011
11;Massief Am eik 23;23;H;3050;1300;97;;;100012
12;Massief eik uitval 15;15;H;3050;1300;99;;;100013
13;Massief eik uitval 24;24;H;3050;1300;99;;;100014
14;Massief Am eik 07;7;H;3050;1300;100;;;100015
15;Massief Am eik 18;18;H;3050;1300;88;;;100016
16;Massief Am eik 50;50;H;3050;1300;99;;;100017
17;Massief Am eik 53;53;H;3050;1300;99;;;100019
18;Massief Am eik 15;15;H;3050;1300;99;;;100020
19;Massief Am eik 29;29;H;3050;1300;99;;;100021
20;Massief eik uitval 46;46;H;3050;1300;100;;;100022
21;Massief Am eik 19;19;H;3050;1300;107;;;100023
22;Massief Am eik 11;11;H;3050;1300;99;;;100024
23;Massief Am eik 10;10;H;3050;1300;99;;;100025
24;Massief Am eik 25;25;H;3050;1300;100;;;100026
25;Massief Am eik 30;30;H;3050;1300;100;;;100027
26;Massief Am eik 20.5;20.5;H;3050;1300;99;;;100029
27;Massief Am eik 13;13;H;3050;1300;100;;;100030
28;Massief eik uitval 65;65;H;3050;1300;99;;;100031
29;Massief eik uitval 38;38;H;3050;1300;99;;;100032
30;Massief Am eik 32;32;H;3050;1300;100;;;100033
31;Massief Am eik 44;44;H;3050;1300;100;;;100034
32;Massief Eik uitval 21;21;H;3050;1300;100;;;100035
33;Glas 4mm;4;A;3050;3050;100;;glas;100036
34;Massief Eik uitval 12;12;H;3050;3050;100;;;100037
35;Massief Am eik 42;42;H;3050;3050;100;;;100038
36;HDF 4 zwart;4;A;2800;2070;42;150;;150
37;MULTI POP 20mm;20;A;2500;1220;0;250;GP0008005;250
38;MULTI BERK 15mm;15;A;2500;1250;25;252;GP00008287;252
39;Metaal 2.5mm;2.5;A;2500;1250;100;;;100039
40;MULTI BERK 24mm;24;H;2500;1250;4;253;GP00008264;253
41;Dekplaat MDF 10MM;10;A;2800;2070;2;26;Dekplaat;26
42;MULTI BERK 22mm;22;A;2500;1250;0;255;GP00008546;255
43;HDF 3 ZwartxBrut;3;A;2800;2070;5;151;GP00031167;151
44;Massief Am eik 26;26;H;3050;1300;100;;;100040
45;Dekplaat MDF 4MM;4;A;2800;2070;7;29;Dekplaat;29
46;BRUT MDF 12MM ZWART;12;A;3050;1220;6;125;GP00031312;125
47;MDF 13mm AFQMxB;13;H;2800;2070;6;620;GP00031211;620
48;MDF 17mm AFQMxAFQM;17;H;2800;2070;20;630;GP00031221;630
49;MDF 19mm EikAwerenxB;19;H;2800;2070;9;640;GP00031231;640
50;MDF Zwart 19mm KrakAwxB;19;H;2445;800;0;670;GP00031233_Reststrook;672
51;MDF Zwart 31mm KrakAwxB;31;H;2800;1400;10;680;GP00031262;680
52;HSP 17mm BxB;17;H;2800;2070;1;710;GP00031220;710
53;HSP 19mm BxB;19;H;2800;2070;11;720;GP00031230;720
54;HSP 23mm BxB;23;H;2800;2070;21;730;GP00031250;730
55;Massief Am eik 70;70;H;3050;1250;99;;;100041
56;Massief eik uitval 36;36;H;3050;1250;100;;;100043
57;Massief eik uitval 17;17;H;3050;1300;100;;;100044
58;Massief Am eik 39;39;H;3050;1250;99;;;100045
59;Massief Am eik 64;64;H;3050;1250;100;;;100046
60;MDF 31mm AFQMxAFQM;31;H;2800;2070;0;666;GP00031264;666
61;MDF 23mm AFQMxAFQM;23;H;2800;2070;1;661;GP00031252;661
62;MDF 31mm BxB;31;H;2800;2070;15;667;GP00031235;667
63;MDF 23mm BxB;23;H;2800;2070;5;662;GP00031253;662
64;MDF 18mm MAPO wit;18;A;2440;1220;100;;;100048
65;MDF 31mm BxB;31;H;3050;1220;0;667;GP00031235;668
66;Basisplaat Altura;19;H;3050;1250;85;;;100049
67;Metaal 15mm;15;A;3050;2070;100;;;100050
68;LED strip;5;A;3050;2070;100;;LED;100051
69;Metaal 9mm;9;A;3050;2070;100;;;100052
70;Massief Am eik 52;52;H;3050;2070;100;;;100053
71;Carbon_Buis;8;A;1200;10;10;;;100054
72;MDF 5mm BxB;5;H;1800;630;0;610;Reststrook GP00031201;506
73;MDF 5mm BxB;5;H;2300;630;0;610;Reststrook GP00031201;507
74;MDF 5mm BxB;5;H;2800;630;0;610;;508
75;MDF 13mm AFQMxB;13;H;1800;630;1;620;Reststrook GP00031211;512
76;MDF 13mm AFQMxB;13;H;2300;630;0;620;Reststrook GP00031211;513
77;MDF 13mm AFQMxB;13;H;2800;630;10;620;Reststrook GP00031211;514
